UNIQUE_ID,TERMINAL,NEAR_GATE,NAME,TIMES,OPEN,CLOSE,TYPE,PRICE,B,V,GF,SPEED,LOGO,MENU_WEBSITE
1,A,A12,Belgian Beer Café,Daily,6:00 AM,8:00 PM,Kiosk,$,NO,,,To-go,link,http://www.belgianbeercafe.us/
2,A,A1 - A15,Blaze Pizza,Daily,6:00 AM,10:00 PM,Pizza/Italian,$,NO,YES,YES,Food court,link,http://www.blazepizza.com/menu/
3,A,A17 - A30,Brookwood Farms,Daily,6:00 AM,9:00 PM,BBQ/Southern,$$,NO,,,Food court,link,http://brookwoodfarms.com/index.php/products/
4,A,A17 - A30,Chili's Too,Daily,5:00 AM,10:00 PM,American,$$,NO,YES,,Food court,link,http://www.chilis.com/EN/Pages/home.aspx
5,A,A1 - A15,Jetbox Market,Daily,5:00 AM,9:00 PM,Coffee/Breakfast,$,NO,,,Food court,,
6,A,A1 - A15,Mango Taco Truck,Daily,5:00 AM,9:00 PM,Mexican,$,NO,YES,,Food court,,
7,A,A1 - A15,Re+Barᴺᵒ9,Daily,5:00 AM,9:00 PM,American,$$,NO,,,Sit-down,,
8,A,A26,Re+Barᴺᵒ9,Daily,5:00 AM,8:30 PM,American,$$,NO,,,Sit-down,,
9,A,Pre-security,Starbucks,Daily,5:00 AM,9:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,link,http://www.starbucks.com/
10,A,A1 - A15,Starbucks,Daily,4:45 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,link,http://www.starbucks.com/
11,A,A17 - A30,Starbucks,Daily,4:35 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,link,http://www.starbucks.com/
12,A,A17 - A30,Urban Market,Daily,6:00 AM,9:30 PM,Kiosk,$$,NO,YES,,To-go,link,
13,A,A17 - A30,Wendy's,Daily,4:00 AM,10:00 PM,American,$,NO,,,To-go,link,https://www.wendys.com/
14,B,B1 - B31,3rd Bar Eating House,Daily,6:30 AM,10:00 PM,Seafood,$$,NO, ,,To-go,,http://www.hmshost.com/brands/3rd-bar-eating-house#
15,B,B1 - B31,Barcüterie,Daily,7:00 AM,9:00 PM,American,$$,NO,,,Sit-down,,
16,B,Post-security,Brookwood Farms,Daily,6:00 AM,9:00 PM,BBQ/Southern,$$,NO,,,Food court,link,http://brookwoodfarms.com/index.php/products/
17,B,B1 - B31,Bullritos,Daily,6:00 AM,9:30 PM,Mexican,$,NO,,,To-go,link,http://www.bullritos.com/menu/
18,B,B84 - B88,Cafe Adobe,Daily,6:00 AM,9:00 PM,Mexican,$$,NO,,,Sit-down,link,http://cafeadobe.com/menu/
19,B,B83,Craft Tavern,Daily,6:00 AM,9:00 PM,Kiosk,$,NO,,,To-go,,
20,B,B1 - B31,Famous Famiglia,Daily,6:00 AM,9:30 PM,Pizza/Italian,$,NO,,,To-go,link,http://famousfamiglia.com/our-lunchdinner-menu/
21,B,B1 - B31,Fresh Gourmet Marketplace,Daily,12:00 AM,12:00 AM,Kiosk,$,NO,YES,,To-go,,
22,B,Post-security,Jetbox Market,Daily,6:00 AM,9:00 PM,Coffee/Breakfast,$,NO,,,Food court,,
23,B,Post-security,Mango Taco Truck,Daily,5:30 AM,9:00 PM,Mexican,$,NO,YES,,Food court,,
24,B,B1 - B31,Panda Express,Daily,7:00 AM,9:30 PM,Asian,$,NO,,,To-go,link,https://www.pandaexpress.com/menu
25,B,Pre-security,Peet's Coffee & Tea,Daily,5:00 AM,10:00 PM,Coffee/Breakfast,$,NO,YES,,To-go,link,http://www.peets.com/stores.html
